Product ID,Product Name,Chinese Name,Image Link,Video Link,Price (RM),Category
"B1004","9""138 SHOOT CAKE - SEA BLAST TRIPLE SET(1.2)9138","","https://media.bmfireworks.com/bearboom/images/B1004_125.png","","530","award-winning"
"B925","9""138 SHOOT CAKE - WINNER 2.09138 2.0 LIMITED EDITION","","https://media.bmfireworks.com/bearboom/images/B925_126.png","","650","winning-series"
"B926","9""138 SHOOT CAKE - WEN YING PU PEI9138 - LIMITED EDITION","","https://media.bmfireworks.com/bearboom/images/B926_127.png","","650","winning-series"
"B942","9""138 SHOOT CAKE - SENTOSA NIGHT 9138 -","","https://media.bmfireworks.com/bearboom/images/B942_128.png","","530","winning-series"
"B1002","10""138 SHOOT CAKE - SURE WIN 10""138 -","","https://media.bmfireworks.com/bearboom/images/B1002_129.png","https://media.bmfireworks.com/bearboom/videos/B1002_129.mp4","475","winning-series"
"B1103","11""138 SHOOT CAKE - FULL OF MONEY 11""138 -","","https://media.bmfireworks.com/bearboom/images/B1103_130.png","https://media.bmfireworks.com/bearboom/videos/B1103_130.mp4","680","winning-series"
"B917A","9""138 SHOOT CAKE - MONEY GOD EAST 9138  -","","https://media.bmfireworks.com/bearboom/images/B917A_131.png","https://media.bmfireworks.com/bearboom/videos/B917A_131.mp4","520","money-god-series"
"B917B","9""138 SHOOT CAKE - MONEY GOD SOUTH 9138  -","","https://media.bmfireworks.com/bearboom/images/B917B_132.png","https://media.bmfireworks.com/bearboom/videos/B917B_132.mp4","520","money-god-series"
"B917C","9""138 SHOOT CAKE - MONEY GOD WEST 9138  -","","https://media.bmfireworks.com/bearboom/images/B917C_133.png","https://media.bmfireworks.com/bearboom/videos/B917C_133.mp4","520","money-god-series"
"B917D","9""138 SHOOT CAKE - MONEY GOD NORTH 9138  -","","https://media.bmfireworks.com/bearboom/images/B917D_134.png","https://media.bmfireworks.com/bearboom/videos/B917D_134.mp4","520","money-god-series"
"B917","9""552 SHOOT CAKE  GOD FOR WEALTH (STRAIGHT + V SHAPE) 9552","","https://media.bmfireworks.com/bearboom/images/B917_135.png","https://media.bmfireworks.com/bearboom/videos/B917_135.mp4","1988","money-god-series"
"B930","9""138 SHOOT CAKE - TEDDY BOY I  9138  -","","https://media.bmfireworks.com/bearboom/images/B930_136.png","","520","teddy-boy-series"
"B931","9""138 SHOOT CAKE - TEDDY BOY II 9138  -","","https://media.bmfireworks.com/bearboom/images/B931_137.png","","520","teddy-boy-series"
"B932","9""138 SHOOT CAKE - TEDDY BOY III 9138  -","","https://media.bmfireworks.com/bearboom/images/B932_138.png","","520","teddy-boy-series"
"B908","9""138 SHOOT CAKE - STAR OF OCEAN 9""138 -","","https://media.bmfireworks.com/bearboom/images/B908_139.png","https://media.bmfireworks.com/bearboom/videos/B908_139.mp4","580","single-color-series"
